id,code,name
facturacion_hacienda.codigo_actividad01,11101,"CULTIVO Y VENTA DE CEREALES, LEGUMBRES Y GRANOS BÁSICOS NO INCLUIDAS EN CANASTA BÁSICA"
facturacion_hacienda.codigo_actividad02,11102,CULTIVO DE PALMA AFRICANA Y OTROS FRUTOS OLEAGINOSOS
facturacion_hacienda.codigo_actividad03,11103,CULTIVO Y COMERCIALIZACIÓN DE CESPED
facturacion_hacienda.codigo_actividad04,11218,PRODUCCIÓN DE MINIVEGETALES
facturacion_hacienda.codigo_actividad05,11231,CULTIVO HORTALIZAS LEGUMBRES ESPECIALIDADES HORTÍCOLAS PRODUCTOS VIVERO GRAVADOS IVA
facturacion_hacienda.codigo_actividad06,11301,CULTIVO DE ESPECIAS DE TODO TIPO
facturacion_hacienda.codigo_actividad07,11302,CULTIVO DE FRUTAS
facturacion_hacienda.codigo_actividad08,11322,CULTIVO DE SEMILLAS COMESTIBLES Y GERMINACION DE SEMILLAS OLEAGINOSAS
facturacion_hacienda.codigo_actividad09,11329,CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS Y MEDICINAS
facturacion_hacienda.codigo_actividad10,11349,CULTIVO DE CACAO
facturacion_hacienda.codigo_actividad11,11401,CULTIVO DE CAFE
facturacion_hacienda.codigo_actividad12,11701,CULTIVO DE  CAñA DE AZÚCAR
facturacion_hacienda.codigo_actividad13,11802,"CULTIVO Y VENTA DE CEREALES, LEGUMBRES Y GRANOS BÁSICOS INCLUIDOS  EN CANASTA BÁSICA"
facturacion_hacienda.codigo_actividad14,11901,CULTIVO DE FLORES DE TODO TIPO
facturacion_hacienda.codigo_actividad15,11903,VIVEROS
facturacion_hacienda.codigo_actividad16,11907,PEQUEÑOS PRODUCTORES AGRICOLAS (FERIAS DEL AGRICULTOR)
facturacion_hacienda.codigo_actividad17,12101,CRíA DE CABALLOS Y OTROS EQUINOS
facturacion_hacienda.codigo_actividad18,12102,"PRODUCCION DE SEMEN BOVINO, VENTA DE SEMEN CONGELADO Y DILUYENTE PARA SEMEN"
facturacion_hacienda.codigo_actividad19,12103,"CRÍA DE ANIMALES DOMÉSTICOS,COMO: GANADO VACUNO, OVEJAS Y CABRAS"
facturacion_hacienda.codigo_actividad20,12201,CRIA DE CERDOS
facturacion_hacienda.codigo_actividad21,12202,CRIA DE ANIMALES DOMESTICADOS (AVES DE CORRAL)
facturacion_hacienda.codigo_actividad22,12203,CRíA DE MARIPOSAS
facturacion_hacienda.codigo_actividad23,12204,CRIA Y VENTA DE OTROS ANIMALES SEMIDOMESTICADOS O SALVAJES
facturacion_hacienda.codigo_actividad24,12401,"PRODUCCION Y VENTA DE HUEVOS DE CUALQUIER TIPO, EXCEPTO  LOS DE GALLINA"
facturacion_hacienda.codigo_actividad25,12402,CRÍA DE ANIMALES Y OBTENCIÓN DE PRODUCTOS DE ANIMALES VIVOS
facturacion_hacienda.codigo_actividad26,12403,PRODUCCION DE HUEVOS DE GALLINA INCLUIDOS EN LA CANASTA BASICA
facturacion_hacienda.codigo_actividad27,13001,CULTIVO DE PRODUCTOS AGRICOLAS EN COMBINACION CON LA CRIA DE ANIMALES
facturacion_hacienda.codigo_actividad28,14001,SERVICIO DE JARDINERIA Y/O DISEÑO PAISAJISTA
facturacion_hacienda.codigo_actividad29,14002,RECOLECCION DE COSECHAS Y ACTIVIDADES CONEXAS
